metabolite_name,superclass,subclass,pathway_tag,annotation_source,review_status,ambiguous_flag,notes
Lignoceric Acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Linoleic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Linoelaidic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Oleic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Palmitic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Pentadecanoic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Stearic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Arachidic Acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Palmitoylcarnitine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
5'-Deoxyadenosine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Dodecanoylcarnitine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Acetylmethionine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Formyl-methionine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Lumichrome,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Acetylphenylalanine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Methyltryptamine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Tryptophanol,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
trans-Ferulic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
2-Hydroxyphenethylamine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
2-Hydroxy-4-(methylthio)butanoic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
10-Hydroxydecanoate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
5'-Methylthioadenosine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
4-Hydroxybenzaldehyde,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
3-(2-Hydroxyphenyl)propanoic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Acetylleucine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Indole-3-methyl acetate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Salicylamide,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Protoporphyrin,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Sabinic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Quinoline,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Gamma-Aminobutyric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
"2,3-Diaminopropionic acid",,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
2-Phenylglycine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
3-Chlorotyrosine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
D-Glucose,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
D-Maltose,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Erythronic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
"Fructose 1,6-bisphosphate (F1,6BP)",,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
5-Aminolevulinic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glucaric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glyceraldehyde,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glyceric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Maltotriose,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Melibiose,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Acetylneuraminic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Rhamnose,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Ribonic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
5-Hydroxylysine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Trehalose,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glucose 6-phosphate (G6P),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Acetylglycine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
3-Hydroxyisovaleric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Phenylacetylglutamine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Aminocaproic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Aminoadipic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Citramalic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glycine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Beta-Alanine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Alanine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Methylsuccinic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Citrulline,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Creatine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
2-Hydroxybutyric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
3-Hydroxybutyric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Alpha-Hydroxyisobutyric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
